name,location,cost,image1,image2,image3,number
Prodej bytu 2+kk 61 m² (Loft),"Pod vinicí, Praha 4 - Modřany",6 600 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QP_LI/oRIIYY.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QL_KA/xpJIwn.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QP_LI/OWsIYZ.jpeg?fl=res,400,300,3|shr,,20|jpg,90",41
Prodej bytu 2+kk 31 m²,"Kořenov, okres Jablonec nad Nisou",2 900 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QN_KD/3V0Bmoe.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QM_Ko/RbQBmrR.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QN_KD/YrKBmof.jpeg?fl=res,400,300,3|shr,,20|jpg,90",42
Prodej bytu 2+kk 69 m²,"Pod Harfou, Praha 9 - Vysočany",9 454 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QK_Jt/hOOI1Z.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QQ_Lq/tNOIhD.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QM_Kp/rSUIqg.jpeg?fl=res,400,300,3|shr,,20|jpg,90",43
Prodej bytu 3+1 90 m²,"Jandáskova, Ostrava - Svinov",3 708 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QM_Km/dNCCDAM.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QK_Jr/Sz7yiw.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QM_Km/498CDAN.jpeg?fl=res,400,300,3|shr,,20|jpg,90",44
Prodej bytu 3+1 86 m²,"Hostouň - Holubeč, okres Domažlice",1 896 800 Kč,"https://d18-a.sdn.cz/d_18/c_img_QR_ML/0NqOZM.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QP_LI/ovQOGP.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QQ_Lq/7E2OLw.jpeg?fl=res,400,300,3|shr,,20|jpg,90",45
Prodej bytu 1+kk 41 m²,"V Háji, Praha 7 - Holešovice",6 690 637 Kč,"https://d18-a.sdn.cz/d_18/c_img_QL_J9/L0ylo6.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QO_K7/3WClpM.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QQ_Lp/Fn0lsL.jpeg?fl=res,400,300,3|shr,,20|jpg,90",46
Prodej bytu 1+kk 39 m²,"Fráni Šrámka, České Budějovice - České Budějovice 3",3 750 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QJ_Jt/Kv0BXjG.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QJ_Jt/QbiBXjI.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QL_J9/VVABXmu.jpeg?fl=res,400,300,3|shr,,20|jpg,90",47
Prodej bytu 1+kk 30 m²,"Otvovice, okres Kladno",2 250 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QQ_Lq/RwSIgS.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QI_Jo/ybWIp8.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QK_Jt/h1nI0f.jpeg?fl=res,400,300,3|shr,,20|jpg,90",48
Prodej bytu 2+kk 51 m²,"U spojů, Praha 8 - Ďáblice",6 337 980 Kč,"https://d18-a.sdn.cz/d_18/c_img_QP_LH/sPaQCo.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QL_J9/lAOQBr.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QQ_Lp/ZMoQMQ.jpeg?fl=res,400,300,3|shr,,20|jpg,90",49
Prodej bytu 3+1 70 m²,"Havlíčkova, Zdice",3 990 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QR_ML/jw0SSD.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QQ_Lq/RO3SJI.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QQ_Lq/hn3SJJ.jpeg?fl=res,400,300,3|shr,,20|jpg,90",50
